731	20u	10u	8u	42u	67,028e-3	4,0917	4,1587
495	15u	8u	10u	32u	147,743e-3	4,013	4,1608
300	10u	8u	10u	20u	228,772e-3	3,934	4,1628
730	20u	10u	8u	40u	71,5412e-3	4,0917	4,1632
108	5u	8u	10u	14u	308,351e-3	3,8556	4,1639
729	20u	10u	8u	38u	75,7908e-3	4,0917	4,1675
494	15u	8u	10u	30u	158,158e-3	4,0128	4,171
530	15u	10u	8u	18u	159,049e-3	4,0124	4,1715
728	20u	10u	8u	36u	80,529e-3	4,0917	4,1722
692	20u	8u	10u	48u	81,7681e-3	4,0923	4,1741
727	20u	10u	8u	34u	85,6973e-3	4,0917	4,1774
493	15u	8u	10u	28u	169,422e-3	4,0129	4,1823
726	20u	10u	8u	32u	91,4077e-3	4,0917	4,1831
